Kruskal's Minimum Spanning Tree:
3 - 27 (Weight: 1)
3 - 600 (Weight: 1)
3 - 631 (Weight: 1)
3 - 823 (Weight: 1)
3 - 872 (Weight: 1)
3 - 931 (Weight: 1)
3 - 932 (Weight: 1)
3 - 1311 (Weight: 1)
3 - 1675 (Weight: 1)
3 - 1894 (Weight: 1)
3 - 3895 (Weight: 1)
4 - 10 (Weight: 1)
4 - 26 (Weight: 1)
4 - 41 (Weight: 1)
4 - 131 (Weight: 1)
4 - 133 (Weight: 1)
4 - 552 (Weight: 1)
4 - 653 (Weight: 1)
4 - 863 (Weight: 1)
4 - 864 (Weight: 1)
5 - 21 (Weight: 1)
5 - 148 (Weight: 1)
5 - 242 (Weight: 1)
5 - 409 (Weight: 1)
5 - 415 (Weight: 1)
5 - 543 (Weight: 1)
5 - 819 (Weight: 1)
5 - 927 (Weight: 1)
5 - 944 (Weight: 1)
6 - 18 (Weight: 1)
6 - 21 (Weight: 1)
6 - 56 (Weight: 1)
6 - 82 (Weight: 1)
6 - 101 (Weight: 1)
6 - 311 (Weight: 1)
6 - 508 (Weight: 1)
6 - 655 (Weight: 1)
6 - 725 (Weight: 1)
6 - 874 (Weight: 1)
6 - 936 (Weight: 1)
6 - 1291 (Weight: 1)
6 - 1399 (Weight: 1)
6 - 1459 (Weight: 1)
6 - 1496 (Weight: 1)
6 - 1746 (Weight: 1)
6 - 1807 (Weight: 1)
6 - 1858 (Weight: 1)
6 - 1895 (Weight: 1)
6 - 2004 (Weight: 1)
6 - 2063 (Weight: 1)
6 - 2674 (Weight: 1)
6 - 2756 (Weight: 1)
6 - 2803 (Weight: 1)
6 - 2841 (Weight: 1)
6 - 2871 (Weight: 1)
6 - 3227 (Weight: 1)
6 - 3404 (Weight: 1)
6 - 3572 (Weight: 1)
6 - 3626 (Weight: 1)
6 - 3676 (Weight: 1)
6 - 3932 (Weight: 1)
6 - 4400 (Weight: 1)
6 - 4533 (Weight: 1)
6 - 4544 (Weight: 1)
6 - 4546 (Weight: 1)
6 - 4558 (Weight: 1)
6 - 4559 (Weight: 1)
6 - 4569 (Weight: 1)
6 - 4580 (Weight: 1)
6 - 4590 (Weight: 1)
6 - 4593 (Weight: 1)
6 - 4600 (Weight: 1)
6 - 4615 (Weight: 1)
6 - 4623 (Weight: 1)
6 - 4628 (Weight: 1)
6 - 4629 (Weight: 1)
6 - 4634 (Weight: 1)
6 - 4653 (Weight: 1)
6 - 4654 (Weight: 1)
6 - 4667 (Weight: 1)
6 - 4697 (Weight: 1)
6 - 4712 (Weight: 1)
6 - 4718 (Weight: 1)
7 - 20 (Weight: 1)
7 - 67 (Weight: 1)
7 - 110 (Weight: 1)
7 - 221 (Weight: 1)
7 - 309 (Weight: 1)
7 - 328 (Weight: 1)
7 - 352 (Weight: 1)
7 - 391 (Weight: 1)
7 - 453 (Weight: 1)
7 - 540 (Weight: 1)
7 - 544 (Weight: 1)
7 - 694 (Weight: 1)
7 - 715 (Weight: 1)
7 - 902 (Weight: 1)
7 - 923 (Weight: 1)
7 - 1082 (Weight: 1)
7 - 1087 (Weight: 1)
7 - 1720 (Weight: 1)
7 - 1975 (Weight: 1)
7 - 2156 (Weight: 1)
7 - 2754 (Weight: 1)
7 - 2840 (Weight: 1)
7 - 3192 (Weight: 1)
7 - 3193 (Weight: 1)
7 - 3436 (Weight: 1)
7 - 3462 (Weight: 1)
7 - 3667 (Weight: 1)
7 - 3747 (Weight: 1)
7 - 3752 (Weight: 1)
7 - 4016 (Weight: 1)
7 - 4526 (Weight: 1)
7 - 4527 (Weight: 1)
7 - 4534 (Weight: 1)
7 - 4535 (Weight: 1)
7 - 4539 (Weight: 1)
7 - 4613 (Weight: 1)
7 - 4679 (Weight: 1)
7 - 4842 (Weight: 1)
7 - 5180 (Weight: 1)
7 - 5811 (Weight: 1)
7 - 5985 (Weight: 1)
7 - 5994 (Weight: 1)
7 - 6001 (Weight: 1)
7 - 6007 (Weight: 1)
7 - 6008 (Weight: 1)
7 - 6011 (Weight: 1)
7 - 6015 (Weight: 1)
7 - 6025 (Weight: 1)
7 - 6029 (Weight: 1)
7 - 6030 (Weight: 1)
8 - 3469 (Weight: 1)
8 - 3541 (Weight: 1)
8 - 3542 (Weight: 1)
8 - 3548 (Weight: 1)
8 - 3571 (Weight: 1)
8 - 3580 (Weight: 1)
9 - 26 (Weight: 1)
9 - 30 (Weight: 1)
9 - 34 (Weight: 1)
9 - 38 (Weight: 1)
9 - 61 (Weight: 1)
9 - 70 (Weight: 1)
9 - 76 (Weight: 1)
9 - 129 (Weight: 1)
9 - 325 (Weight: 1)
9 - 657 (Weight: 1)
9 - 691 (Weight: 1)
9 - 843 (Weight: 1)
9 - 848 (Weight: 1)
9 - 1063 (Weight: 1)
9 - 1185 (Weight: 1)
9 - 1268 (Weight: 1)
9 - 1272 (Weight: 1)
9 - 1411 (Weight: 1)
9 - 1429 (Weight: 1)
9 - 1458 (Weight: 1)
9 - 1523 (Weight: 1)
9 - 1718 (Weight: 1)
9 - 1771 (Weight: 1)
9 - 1927 (Weight: 1)
9 - 2092 (Weight: 1)
9 - 2172 (Weight: 1)
9 - 2575 (Weight: 1)
9 - 2579 (Weight: 1)
9 - 2599 (Weight: 1)
9 - 2601 (Weight: 1)
9 - 2610 (Weight: 1)
9 - 2620 (Weight: 1)
9 - 2628 (Weight: 1)
9 - 2649 (Weight: 1)
9 - 2660 (Weight: 1)
9 - 2668 (Weight: 1)
9 - 2671 (Weight: 1)
9 - 2672 (Weight: 1)
9 - 2684 (Weight: 1)
9 - 2691 (Weight: 1)
9 - 2709 (Weight: 1)
9 - 2711 (Weight: 1)
9 - 2713 (Weight: 1)
9 - 2729 (Weight: 1)
9 - 2742 (Weight: 1)
9 - 2746 (Weight: 1)
9 - 2782 (Weight: 1)
9 - 2791 (Weight: 1)
9 - 2797 (Weight: 1)
9 - 2799 (Weight: 1)
9 - 2829 (Weight: 1)
9 - 2834 (Weight: 1)
9 - 2837 (Weight: 1)
9 - 2838 (Weight: 1)
9 - 2851 (Weight: 1)
9 - 2877 (Weight: 1)
9 - 2890 (Weight: 1)
9 - 2909 (Weight: 1)
9 - 2911 (Weight: 1)
10 - 579 (Weight: 1)
10 - 2928 (Weight: 1)
10 - 2930 (Weight: 1)
12 - 26 (Weight: 1)
12 - 2745 (Weight: 1)
12 - 3253 (Weight: 1)
12 - 4440 (Weight: 1)
15 - 464 (Weight: 1)
15 - 952 (Weight: 1)
15 - 3122 (Weight: 1)
16 - 41 (Weight: 1)
16 - 1501 (Weight: 1)
19 - 5295 (Weight: 1)
19 - 5296 (Weight: 1)
19 - 5299 (Weight: 1)
20 - 47 (Weight: 1)
20 - 700 (Weight: 1)
20 - 1590 (Weight: 1)
20 - 1842 (Weight: 1)
20 - 1855 (Weight: 1)
20 - 3327 (Weight: 1)
20 - 4543 (Weight: 1)
20 - 4977 (Weight: 1)
20 - 4980 (Weight: 1)
20 - 4982 (Weight: 1)
21 - 173 (Weight: 1)
21 - 1295 (Weight: 1)
21 - 1966 (Weight: 1)
21 - 3254 (Weight: 1)
21 - 3555 (Weight: 1)
21 - 3680 (Weight: 1)
21 - 4145 (Weight: 1)
21 - 5051 (Weight: 1)
21 - 5177 (Weight: 1)
21 - 5795 (Weight: 1)
21 - 5801 (Weight: 1)
22 - 87 (Weight: 1)
22 - 171 (Weight: 1)
22 - 231 (Weight: 1)
22 - 341 (Weight: 1)
22 - 1013 (Weight: 1)
22 - 1085 (Weight: 1)
22 - 1233 (Weight: 1)
22 - 1498 (Weight: 1)
22 - 1500 (Weight: 1)
22 - 1967 (Weight: 1)
22 - 2029 (Weight: 1)
22 - 2051 (Weight: 1)
22 - 2112 (Weight: 1)
22 - 2638 (Weight: 1)
22 - 3647 (Weight: 1)
22 - 3663 (Weight: 1)
22 - 3679 (Weight: 1)
22 - 3688 (Weight: 1)
22 - 3692 (Weight: 1)
22 - 3693 (Weight: 1)
22 - 3708 (Weight: 1)
22 - 3709 (Weight: 1)
22 - 3721 (Weight: 1)
22 - 3725 (Weight: 1)
24 - 196 (Weight: 1)
24 - 379 (Weight: 1)
24 - 1643 (Weight: 1)
24 - 2130 (Weight: 1)
24 - 2773 (Weight: 1)
24 - 3954 (Weight: 1)
24 - 5557 (Weight: 1)
24 - 5612 (Weight: 1)
24 - 5628 (Weight: 1)
24 - 5631 (Weight: 1)
25 - 2552 (Weight: 1)
25 - 4897 (Weight: 1)
26 - 137 (Weight: 1)
26 - 525 (Weight: 1)
26 - 1056 (Weight: 1)
26 - 1743 (Weight: 1)
26 - 2728 (Weight: 1)
26 - 3188 (Weight: 1)
26 - 3190 (Weight: 1)
26 - 3223 (Weight: 1)
26 - 3224 (Weight: 1)
28 - 817 (Weight: 1)
28 - 1116 (Weight: 1)
28 - 1372 (Weight: 1)
28 - 1384 (Weight: 1)
28 - 2149 (Weight: 1)
28 - 2193 (Weight: 1)
28 - 2691 (Weight: 1)
28 - 3621 (Weight: 1)
28 - 4490 (Weight: 1)
28 - 4578 (Weight: 1)
28 - 4581 (Weight: 1)
28 - 5096 (Weight: 1)
28 - 5134 (Weight: 1)
28 - 5386 (Weight: 1)
28 - 5772 (Weight: 1)
28 - 5779 (Weight: 1)
28 - 5785 (Weight: 1)
31 - 1074 (Weight: 1)
31 - 3731 (Weight: 1)
31 - 5284 (Weight: 1)
31 - 5567 (Weight: 1)
31 - 5573 (Weight: 1)
34 - 2316 (Weight: 1)
34 - 6424 (Weight: 1)
35 - 1677 (Weight: 1)
36 - 381 (Weight: 1)
38 - 689 (Weight: 1)
38 - 1068 (Weight: 1)
38 - 5610 (Weight: 1)
41 - 164 (Weight: 1)
41 - 167 (Weight: 1)
41 - 298 (Weight: 1)
41 - 634 (Weight: 1)
41 - 638 (Weight: 1)
41 - 642 (Weight: 1)
41 - 650 (Weight: 1)
41 - 663 (Weight: 1)
41 - 673 (Weight: 1)
41 - 676 (Weight: 1)
41 - 693 (Weight: 1)
41 - 739 (Weight: 1)
41 - 750 (Weight: 1)
41 - 754 (Weight: 1)
41 - 779 (Weight: 1)
41 - 780 (Weight: 1)
41 - 785 (Weight: 1)
41 - 807 (Weight: 1)
43 - 1114 (Weight: 1)
45 - 1577 (Weight: 1)
47 - 255 (Weight: 1)
47 - 922 (Weight: 1)
47 - 1187 (Weight: 1)
47 - 2399 (Weight: 1)
47 - 3733 (Weight: 1)
47 - 3978 (Weight: 1)
47 - 4386 (Weight: 1)
49 - 5241 (Weight: 1)
50 - 409 (Weight: 1)
51 - 556 (Weight: 1)
51 - 582 (Weight: 1)
51 - 586 (Weight: 1)
51 - 609 (Weight: 1)
52 - 468 (Weight: 1)
52 - 945 (Weight: 1)
52 - 5084 (Weight: 1)
52 - 5547 (Weight: 1)
53 - 415 (Weight: 1)
54 - 4215 (Weight: 1)
54 - 5351 (Weight: 1)
56 - 5091 (Weight: 1)
57 - 1798 (Weight: 1)
57 - 4024 (Weight: 1)
59 - 65 (Weight: 1)
59 - 2181 (Weight: 1)
59 - 3307 (Weight: 1)
59 - 3924 (Weight: 1)
59 - 3925 (Weight: 1)
60 - 795 (Weight: 1)
60 - 1423 (Weight: 1)
60 - 2608 (Weight: 1)
60 - 2810 (Weight: 1)
60 - 4471 (Weight: 1)
60 - 4480 (Weight: 1)
61 - 64 (Weight: 1)
61 - 3340 (Weight: 1)
62 - 857 (Weight: 1)
62 - 920 (Weight: 1)
62 - 3247 (Weight: 1)
62 - 4278 (Weight: 1)
62 - 4336 (Weight: 1)
62 - 5862 (Weight: 1)
62 - 6350 (Weight: 1)
62 - 6354 (Weight: 1)
63 - 1642 (Weight: 1)
63 - 1966 (Weight: 1)
63 - 4387 (Weight: 1)
63 - 4511 (Weight: 1)
63 - 4763 (Weight: 1)
63 - 4881 (Weight: 1)
63 - 4900 (Weight: 1)
64 - 3246 (Weight: 1)
64 - 3347 (Weight: 1)
64 - 4259 (Weight: 1)
64 - 4261 (Weight: 1)
64 - 4264 (Weight: 1)
64 - 4269 (Weight: 1)
64 - 4271 (Weight: 1)
64 - 4276 (Weight: 1)
65 - 4335 (Weight: 1)
65 - 5416 (Weight: 1)
66 - 3002 (Weight: 1)
67 - 2997 (Weight: 1)
67 - 4132 (Weight: 1)
67 - 4136 (Weight: 1)
67 - 4151 (Weight: 1)
68 - 3064 (Weight: 1)
76 - 2073 (Weight: 1)
76 - 2885 (Weight: 1)
77 - 2157 (Weight: 1)
86 - 105 (Weight: 1)
86 - 438 (Weight: 1)
86 - 945 (Weight: 1)
86 - 2116 (Weight: 1)
98 - 429 (Weight: 1)
101 - 950 (Weight: 1)
102 - 128 (Weight: 1)
102 - 5083 (Weight: 1)
105 - 542 (Weight: 1)
105 - 1027 (Weight: 1)
110 - 3437 (Weight: 1)
119 - 4422 (Weight: 1)
129 - 4207 (Weight: 1)
129 - 4211 (Weight: 1)
131 - 1991 (Weight: 1)
146 - 6456 (Weight: 1)
152 - 653 (Weight: 1)
157 - 653 (Weight: 1)
180 - 1672 (Weight: 1)
191 - 4397 (Weight: 1)
211 - 1474 (Weight: 1)
226 - 1338 (Weight: 1)
235 - 372 (Weight: 1)
241 - 550 (Weight: 1)
242 - 5432 (Weight: 1)
243 - 3359 (Weight: 1)
247 - 579 (Weight: 1)
248 - 3949 (Weight: 1)
248 - 4202 (Weight: 1)
248 - 4917 (Weight: 1)
299 - 3106 (Weight: 1)
381 - 383 (Weight: 1)
381 - 400 (Weight: 1)
381 - 414 (Weight: 1)
381 - 450 (Weight: 1)
381 - 469 (Weight: 1)
381 - 501 (Weight: 1)
381 - 515 (Weight: 1)
381 - 524 (Weight: 1)
381 - 527 (Weight: 1)
383 - 486 (Weight: 1)
384 - 2240 (Weight: 1)
384 - 4069 (Weight: 1)
386 - 491 (Weight: 1)
386 - 857 (Weight: 1)
387 - 389 (Weight: 1)
393 - 520 (Weight: 1)
393 - 529 (Weight: 1)
393 - 662 (Weight: 1)
393 - 6041 (Weight: 1)
394 - 397 (Weight: 1)
394 - 1678 (Weight: 1)
407 - 845 (Weight: 1)
408 - 410 (Weight: 1)
409 - 6437 (Weight: 1)
410 - 3371 (Weight: 1)
423 - 1492 (Weight: 1)
423 - 2560 (Weight: 1)
437 - 551 (Weight: 1)
437 - 1346 (Weight: 1)
437 - 1403 (Weight: 1)
437 - 4127 (Weight: 1)
437 - 5469 (Weight: 1)
438 - 3881 (Weight: 1)
438 - 5107 (Weight: 1)
438 - 5112 (Weight: 1)
446 - 447 (Weight: 1)
446 - 450 (Weight: 1)
456 - 962 (Weight: 1)
456 - 1035 (Weight: 1)
456 - 2357 (Weight: 1)
456 - 2362 (Weight: 1)
456 - 2365 (Weight: 1)
458 - 459 (Weight: 1)
462 - 4870 (Weight: 1)
469 - 921 (Weight: 1)
469 - 2467 (Weight: 1)
473 - 1485 (Weight: 1)
475 - 903 (Weight: 1)
475 - 2201 (Weight: 1)
475 - 2205 (Weight: 1)
475 - 2208 (Weight: 1)
475 - 2235 (Weight: 1)
475 - 2236 (Weight: 1)
475 - 2243 (Weight: 1)
475 - 2269 (Weight: 1)
475 - 2272 (Weight: 1)
476 - 630 (Weight: 1)
476 - 2489 (Weight: 1)
476 - 2492 (Weight: 1)
476 - 2503 (Weight: 1)
476 - 2516 (Weight: 1)
476 - 2517 (Weight: 1)
476 - 2534 (Weight: 1)
489 - 496 (Weight: 1)
490 - 2487 (Weight: 1)
490 - 3803 (Weight: 1)
526 - 618 (Weight: 1)
536 - 4751 (Weight: 1)
536 - 4941 (Weight: 1)
536 - 4950 (Weight: 1)
540 - 4439 (Weight: 1)
540 - 4447 (Weight: 1)
547 - 3567 (Weight: 1)
549 - 1017 (Weight: 1)
549 - 2424 (Weight: 1)
